protein1	protein2	confidence
A1BG	CRISP3	0.457
A1CF	CAVIN2	0.28
A2M	ADAM19	0.382
A2M	ADAMTS1	0.415
A2M	ADAMTS12	0.315
A2M	ADAMTS7	0.34
A2M	AMBP	0.473
A2M	ANXA6	0.395
A2M	APOE	0.679
A2M	APP	0.961
A2M	B2M	0.578
A2M	BAG3	0.164
A2M	C16orf45	0.169
A2M	CALM1	0.195
A2M	CDC42	0.907
A2M	CDK11A	0.187
A2M	CELA1	0.45
A2M	CPB2	0.411
A2M	CTSB	0.535
A2M	CTSE	0.367
A2M	GDPD1	0.229
A2M	GRB2	0.917
A2M	HIPK1	0.18
A2M	HSPA5	0.434
A2M	HSPB2	0.179
A2M	IL10	0.573
A2M	IL1B	0.635
A2M	IL4	0.428
A2M	KCND2	0.327
A2M	KCNIP1	0.325
A2M	KCNIP2	0.325
A2M	KLK13	0.408
A2M	KLK2	0.408
A2M	KLK3	0.71
A2M	KRAS	0.169
A2M	LCAT	0.427
A2M	LEP	0.428
A2M	LRP1	0.863
A2M	LYZ	0.56
A2M	MAPK6	0.178
A2M	MMP2	0.967
A2M	MTUS2	0.162
A2M	MYOC	0.186
A2M	NDUFA13	0.791
A2M	NGF	0.653
A2M	PAEP	0.399
A2M	PDGFA	0.313
A2M	PDGFB	0.927
A2M	POLR3E	0.162
A2M	SHBG	0.252
A2M	SIRT4	0.329
A2M	SMAD2	0.245
A2M	SPACA3	0.36
A2M	TGFBI	0.32
A2M	TGIF1	0.488
A4GALT	ABHD17B	0.608
A4GNT	BLK	0.167
A4GNT	FAM213A	0.181
A4GNT	FANK1	0.164
A4GNT	IMPA2	0.164
A4GNT	PDXDC1	0.157
A4GNT	POMT1	0.23
A4GNT	RNF167	0.164
AAAS	KPNB1	0.976
AAAS	NUP107	0.97
AAAS	NUP133	0.98
AAAS	NUP153	0.972
AAAS	POPDC2	0.158
AAAS	SEH1L	0.819
AAK1	AP2B1	0.989
AAK1	ATP13A2	0.206
AAK1	CLTB	0.971
AAK1	CLTC	0.929
AAK1	GAK	0.968
AAK1	GTSE1	0.359
AAMP	ACE2	0.608
AAMP	AEN	0.632
AAMP	ASAH1	0.17
AAMP	DICER1	0.189
AAMP	NKAPD1	0.184
AAMP	PDCD4	0.168
AAMP	PTPRU	0.193
AAMP	SRP9	0.347
AAMP	TCF25	0.187
AAMP	VPS52	0.171
AAR2	GJA5	0.594
AAR2	SLC7A6OS	0.357
AAR2	UBR4	0.417
AARS	ASNS	0.872
AARS	DARS	0.965
AARS	DPP8	0.197
AARS	DPP9	0.359
AARS	SBDS	0.448
AARS	STAT1	0.774
AARS	TARSL2	0.965
AARS2	ARHGEF26	0.167
AARS2	MEGF10	0.174
AARS2	PLSCR1	0.164
AARS2	RAP1B	0.285
AARS2	RARS2	0.709
AARS2	ZNRF1	0.164
AARSD1	PPP1R14B	0.774
AARSD1	SEPT2	0.774
AARSD1	SEPT8	0.774
AARSD1	SRM	0.426
AASDHPPT	ADSS	0.502
AASDHPPT	CAPZA2	0.217
AASDHPPT	EHD1	0.18
AASDHPPT	EHD4	0.224
AASDHPPT	HNRNPH1	0.186
AASDHPPT	MOV10L1	0.417
AASDHPPT	POTEI	0.262
AASDHPPT	RAE1	0.452
AASDHPPT	SGTA	0.178
AASDHPPT	STIL	0.359
AASDHPPT	UBE2D2	0.425
AASDHPPT	UMPS	0.481
AASDHPPT	USP22	0.488
AASDHPPT	ZC3HC1	0.347
AATF	ATR	0.326
AATF	CHEK1	0.335
AATF	CHEK2	0.341
AATF	DAPK3	0.437
AATF	DDX56	0.99
AATF	LIN28A	0.196
AATF	MAPKAPK2	0.36
AATF	MAPT	0.679
AATF	MPHOSPH10	0.989
AATF	NGDN	0.996
AATF	NOC2L	0.99
AATF	NOL6	0.955
AATF	PAWR	0.378
AATF	PIN1	0.36
AATF	PUM3	0.988
AATF	RBBP8	0.36
AATF	RBL1	0.36
AATF	RBL2	0.36
AATF	RPF2	0.946
AATF	RTEL1	0.166
AATF	RTEL1-TNFRSF6B	0.178
AATF	TSG101	0.685
AATK	ATAD3A	0.24
AATK	CDK5R1	0.427
AATK	SLC25A12	0.188
ABAT	ALDH7A1	0.984
ABAT	ESD	0.44
ABAT	FAH	0.78
ABAT	GDA	0.426
ABAT	HSD17B14	0.452
ABAT	LDHA	0.494
ABAT	PDXK	0.466
ABAT	PGM1	0.463
ABAT	PGM2	0.427
ABAT	SEC22C	0.595
ABAT	SOD2	0.498
ABCA1	ABCA12	0.452
ABCA1	AOX1	0.655
ABCA1	ARHGEF11	0.658
ABCA1	ATXN10	0.329
ABCA1	DLG5	0.369
ABCA1	DTNB	0.349
ABCA1	FLOT1	0.445
ABCA1	LIMK1	0.444
ABCA1	LIN7A	0.36
ABCA1	LIN7B	0.36
ABCA1	LNX1	0.153
ABCA1	MPP6	0.38
ABCA1	PDZK1	0.469
ABCA1	PLTP	0.885
ABCA1	RAPGEF6	0.36
ABCA1	RIMS2	0.367
ABCA1	SLC25A34	0.326
ABCA1	SNTB2	0.45
ABCA1	TRIM27	0.331
ABCA1	UTRN	0.525
ABCA2	PCDH1	0.155
ABCA3	LAMP3	0.47
ABCA3	MCOLN3	0.181
ABCA7	HNRNPD	0.185
ABCB1	FBXO15	0.612
ABCB1	LAPTM4B	0.386
ABCB1	NEDD4	0.399
ABCB1	PSMB8	0.493
ABCB1	UBA7	0.427
ABCB10	LAMTOR2	0.503
ABCB10	NDUFB11	0.774
ABCB11	NCOA1	0.412
ABCB5	PSMB5	0.486
ABCB5	PSMB9	0.39
ABCB6	TNF	0.249
ABCB7	ATP6V1D	0.503
ABCB7	EPRS	0.436
ABCB7	FECH	0.801
ABCB7	MRPL10	0.503
ABCB7	NDUFB6	0.503
ABCB7	RAB2A	0.418
ABCB7	RPN1	0.426
ABCB7	SDF4	0.185
ABCB8	ADPGK	0.503
ABCB8	GABRE	0.162
ABCB8	IMPAD1	0.504
ABCB8	RAB11FIP5	0.503
ABCB8	RASGRP1	0.503
ABCC1	FLOT1	0.419
ABCC1	PGRMC2	0.503
ABCC10	ECSIT	0.168
ABCC10	GOPC	0.349
ABCC10	HNRNPD	0.165
ABCC10	HSPA1A	0.229
ABCC10	HSPA1L	0.229
ABCC10	PDZK1	0.368
ABCC10	TEX264	0.171
ABCC2	ATP6V1B1	0.443
ABCC2	ATP6V1E1	0.427
ABCC2	AZIN1	0.206
ABCC2	MRPL10	0.503
ABCC2	MRPL24	0.509
ABCC2	MRPS28	0.424
ABCC2	MRPS35	0.503
ABCC2	PDZK1	0.666
ABCC2	PRR3	0.503
ABCC2	PTRH2	0.51
ABCC2	RAB11B	0.541
ABCC2	RAB14	0.534
ABCC2	RAB31	0.525
ABCC2	SLC30A5	0.793
ABCC2	SSR1	0.503
ABCC3	ATP9A	0.47
ABCC4	HAX1	0.349
ABCC4	LGALS9C	0.777
ABCC4	LPAR1	0.173
ABCC4	PDZK1	0.667
ABCC4	SCRIB	0.178
ABCC4	SNTA1	0.325
ABCC4	SNX27	0.693
ABCC6	AK2	0.196
ABCC6	FOXC2	0.152
ABCC6	FOXS1	0.196
ABCC6	FURIN	0.241
ABCC6	H6PD	0.234
ABCC6	HOXB9	0.189
ABCC6	HOXC13	0.191
ABCC6	HOXD13	0.192
ABCC6	NFIC	0.203
ABCC6	NFIX	0.206
ABCC6	PBX2	0.161
ABCC6	PPP2R2A	0.777
ABCC6	RECQL	0.325
ABCC6	S100A12	0.387
ABCC6	SATB1	0.232
ABCC6	SATB2	0.194
ABCC6	SMARCA1	0.369
ABCC6	TFCP2	0.316
ABCC8	ANK2	0.432
ABCC8	ENSA	0.597
ABCC8	KCNJ11	0.997
ABCC8	KCNJ8	0.989
ABCC8	RAPGEF4	0.978
ABCC9	LDHA	0.439
ABCC9	STX1A	0.389
ABCD1	ABCD2	0.933
ABCD1	ABCD3	0.98
ABCD1	AGPS	0.857
ABCD1	ITPR3	0.503
ABCD1	PEX3	0.987
ABCD1	RPSA	0.163
ABCD1	SLC27A2	0.847
ABCD1	VPS26B	0.183
ABCD2	ABCD3	0.94
ABCD3	AMN	0.285
ABCD3	ATP6V1C1	0.524
ABCD3	CLN3	0.331
ABCD3	COL6A2	0.36
ABCD3	DSTYK	0.208
ABCD3	FKBP7	0.331
ABCD3	IL23A	0.3
ABCD3	MEST	0.152
ABCD3	NDUFB11	0.503
ABCD3	NNT	0.529
ABCD3	PEX10	0.724
ABCD3	PEX11B	0.801
ABCD3	PEX12	0.744
ABCD3	PEX13	0.868
ABCD3	PEX26	0.64
ABCD3	PXMP4	0.551
ABCD3	SLC25A17	0.93
ABCD3	SLC39A4	0.157
ABCD3	TAP1	0.569
ABCD3	USP50	0.496
ABCD3	ZNF454	0.533
ABCE1	AARS	0.307
ABCE1	ABCF1	0.812
ABCE1	ACAT1	0.231
ABCE1	AIFM1	0.249
ABCE1	AK2	0.194
ABCE1	APEX1	0.214
ABCE1	ASNS	0.165
ABCE1	ATP6V1A	0.162
ABCE1	ATXN10	0.218
ABCE1	CACNA2D1	0.155
ABCE1	CBX3	0.199
ABCE1	CD44	0.165
ABCE1	CIAO1	0.232
ABCE1	CIP2A	0.183
ABCE1	CISD1	0.219
ABCE1	CPSF3	0.332
ABCE1	CPVL	0.177
ABCE1	CTSA	0.184
ABCE1	CUL4A	0.199
ABCE1	DCP2	0.263
ABCE1	DCXR	0.21
ABCE1	DDX18	0.654
ABCE1	DDX46	0.245
ABCE1	DIABLO	0.347
ABCE1	DKC1	0.343
ABCE1	DUT	0.266
ABCE1	DYNLL1	0.265
ABCE1	EIF3D	0.283
ABCE1	EIF3F	0.684
ABCE1	EIF3H	0.739
ABCE1	EIF4A3	0.429
ABCE1	ELOC	0.235
ABCE1	ETF1	0.914
ABCE1	EXOSC4	0.164
ABCE1	FAM96B	0.179
ABCE1	FANCI	0.185
ABCE1	FBL	0.791
ABCE1	FLNB	0.263
ABCE1	FUBP3	0.228
ABCE1	GNS	0.248
ABCE1	GSPT1	0.468
ABCE1	HM13	0.279
ABCE1	HSPE1	0.345
ABCE1	ILK	0.186
ABCE1	IMMT	0.226
ABCE1	JUP	0.214
ABCE1	KARS	0.357
ABCE1	LMNA	0.288
ABCE1	LMNB1	0.211
ABCE1	LYN	0.204
ABCE1	MAIP1	0.248
ABCE1	MAPRE1	0.202
ABCE1	MMS19	0.389
ABCE1	MSN	0.188
ABCE1	NAA10	0.201
ABCE1	NAT10	0.267
ABCE1	NDUFA4	0.189
ABCE1	NDUFAF4	0.318
ABCE1	ORAOV1	0.482
ABCE1	PDIA3	0.221
ABCE1	PEBP1	0.19
ABCE1	PEG10	0.273
ABCE1	PFDN2	0.152
ABCE1	PNP	0.178
ABCE1	POLR1B	0.574
ABCE1	PPM1G	0.168
ABCE1	PPP1CB	0.204
ABCE1	PPP1CC	0.317
ABCE1	PPP6C	0.189
ABCE1	PSIP1	0.237
ABCE1	PSMA2	0.314
ABCE1	PSMA5	0.252
ABCE1	PSMC2	0.277
ABCE1	PSMD1	0.302
ABCE1	PSMD13	0.159
ABCE1	PSMD14	0.506
ABCE1	PSMD8	0.174
ABCE1	PTER	0.417
ABCE1	PTPRF	0.306
ABCE1	RBBP7	0.239
ABCE1	RFC4	0.309
ABCE1	RNASE2	0.49
ABCE1	RNASEL	0.982
ABCE1	RNF2	0.268
ABCE1	RPL21	0.153
ABCE1	RPL32	0.153
ABCE1	RPL35A	0.189
ABCE1	RPL4	0.556
ABCE1	RPL7	0.587
ABCE1	RPS12	0.202
ABCE1	RPS25	0.214
ABCE1	RPS27	0.153
ABCE1	RPS3A	0.512
ABCE1	RRP12	0.372
ABCE1	RRP1B	0.476
ABCE1	RTRAF	0.22
ABCE1	SAFB	0.155
ABCE1	SFXN4	0.191
ABCE1	SLC25A4	0.152
ABCE1	SMARCA5	0.575
ABCE1	SMC4	0.433
ABCE1	SNRPF	0.224
ABCE1	SRC	0.2
ABCE1	SRM	0.212
ABCE1	SRP9	0.245
ABCE1	STAU1	0.202
ABCE1	STRAP	0.287
ABCE1	SUCLG2	0.157
ABCE1	SUPT16H	0.255
ABCE1	SURF4	0.159
ABCE1	TECR	0.426
ABCE1	TFAM	0.371
ABCE1	TIMM21	0.198
ABCE1	TIMM23	0.357
ABCE1	TMPO	0.254
ABCE1	TSN	0.29
ABCE1	TTC29	0.165
ABCE1	TTC37	0.479
ABCE1	TWF1	0.208
ABCE1	UBASH3A	0.36
ABCE1	UFL1	0.151
ABCE1	USP50	0.488
ABCE1	VAPA	0.417
ABCE1	VAPB	0.417
ABCE1	VDAC3	0.188
ABCE1	VIM	0.153
ABCE1	WDR77	0.201
ABCE1	XRCC5	0.483
ABCE1	YAE1D1	0.489
ABCE1	ZNF207	0.213
ABCF1	CNOT1	0.171
ABCF1	MMS19	0.152
ABCF2	ABCF3	0.505
ABCF2	ACAD9	0.782
ABCF2	ANKRD28	0.175
ABCF2	BRCA1	0.169
ABCF2	CCNL2	0.227
ABCF2	CLUH	0.487
ABCF2	DDX18	0.6
ABCF2	DDX3X	0.524
ABCF2	DKC1	0.605
ABCF2	EFL1	0.556
ABCF2	EIF2S3	0.561
ABCF2	EIF3A	0.569
ABCF2	EIF5B	0.534
ABCF2	HADHA	0.2
ABCF2	HNRNPA2B1	0.219
ABCF2	MAD2L1	0.184
ABCF2	MTHFD1	0.55
ABCF2	NOP56	0.609
ABCF2	NPM1	0.151
ABCF2	POLR1C	0.546
ABCF2	PPP1R10	0.529
ABCF2	PPT1	0.166
ABCF2	RPL10	0.489
ABCF2	SIRT6	0.564
ABCF2	SNW1	0.206
ABCF2	UPF2	0.157
ABCF2	ZC3H15	0.547
ABCF3	FCHSD2	0.326
ABCF3	NLRP9	0.417
ABCF3	TRIM27	0.158
ABCG4	ABCG1	0.376
ABCG5	ABCG1	0.529
ABCG5	ABCG8	0.991
ABHD11	BOLA1	0.607
ABHD14A	A4GALT	0.359
ABHD14A	BZW2	0.347
ABHD14A	CTSA	0.207
ABHD14A	ECHS1	0.333
ABHD14A	EIF6	0.235
ABHD14A	GSS	0.334
ABHD14A	HSPA9	0.295
ABHD14A	PAFAH1B2	0.24
ABHD14A	RAP1GDS1	0.256
ABHD14A	SCARA3	0.161
ABHD16A	ATP5G3	0.498
ABHD16A	HM13	0.497
ABHD16A	ND4L	0.483
ABHD16A	SLC39A7	0.499
ABHD16A	SLTM	0.483
ABHD17A	EHMT2	0.179
ABHD17A	PLSCR4	0.183
ABHD17A	TCTEX1D2	0.612
ABHD3	KLK15	0.19
ABI1	ABL2	0.286
ABI1	BRK1	0.952
ABI1	CCDC173	0.163
ABI1	CDC123	0.52
ABI1	CYFIP1	0.988
ABI1	CYFIP2	0.985
ABI1	DTNBP1	0.157
ABI1	EPS8L1	0.393
ABI1	EPS8L2	0.355
ABI1	EPS8L3	0.372
ABI1	EVL	0.456
ABI1	FER	0.193
ABI1	FES	0.213
ABI1	FGR	0.224
ABI1	FRK	0.193
ABI1	GRB10	0.221
ABI1	HOMER3	0.16
ABI1	KIAA1522	0.188
ABI1	LCK	0.252
ABI1	MINK1	0.357
ABI1	NCF1	0.36
ABI1	NCKAP1	0.992
ABI1	NCKAP1L	0.982
ABI1	NIN	0.349
ABI1	RAPH1	0.235
ABI1	RASA1	0.306
ABI1	SOCS6	0.193
ABI1	SOCS7	0.193
ABI1	SORBS1	0.22
ABI1	SPTA1	0.335
ABI1	SPTAN1	0.335
ABI1	T	0.193
ABI1	UBXN11	0.16
ABI1	VAV2	0.93
ABI1	WASF1	0.985
